
[start] Model ver = yolo11m.pt[2026-03-26 22:49:56]
====================
[logging] NEW STATE -- arrived[2026-03-26 22:49:57]
[logging] NEW STATE -- taked[2026-03-26 22:49:57]
[logging] NEW STATE -- empty[2026-03-26 22:50:09]
[logging] NEW STATE -- arrived[2026-03-26 22:50:10]
[logging] NEW STATE -- taked[2026-03-26 22:50:10]
[logging] NEW STATE -- empty[2026-03-26 22:50:19]
[logging] NEW STATE -- arrived[2026-03-26 22:50:21]
[logging] NEW STATE -- taked[2026-03-26 22:50:22]
[logging] NEW STATE -- empty[2026-03-26 22:50:26]
[logging] NEW STATE -- arrived[2026-03-26 22:50:29]
[logging] NEW STATE -- taked[2026-03-26 22:50:30]
[logging] NEW STATE -- empty[2026-03-26 22:50:51]
[logging] NEW STATE -- arrived[2026-03-26 22:50:53]
[logging] NEW STATE -- taked[2026-03-26 22:50:54]
[logging] NEW STATE -- empty[2026-03-26 22:51:00]
[logging] NEW STATE -- arrived[2026-03-26 22:51:01]
[logging] NEW STATE -- taked[2026-03-26 22:51:02]
[logging] NEW STATE -- empty[2026-03-26 22:51:21]
[logging] NEW STATE -- arrived[2026-03-26 22:51:22]
[logging] NEW STATE -- taked[2026-03-26 22:51:23]
[logging] NEW STATE -- empty[2026-03-26 22:51:24]
[logging] NEW STATE -- arrived[2026-03-26 22:51:28]
[logging] NEW STATE -- taked[2026-03-26 22:51:29]
[logging] NEW STATE -- empty[2026-03-26 22:51:39]
[logging] NEW STATE -- arrived[2026-03-26 22:51:40]
[logging] NEW STATE -- taked[2026-03-26 22:51:42]
[logging] NEW STATE -- empty[2026-03-26 22:51:46]
[logging] NEW STATE -- arrived[2026-03-26 22:51:47]
[logging] NEW STATE -- taked[2026-03-26 22:51:48]
[logging] NEW STATE -- empty[2026-03-26 22:52:05]
[logging] NEW STATE -- arrived[2026-03-26 22:52:07]
[logging] NEW STATE -- taked[2026-03-26 22:52:10]
[logging] NEW STATE -- empty[2026-03-26 22:52:14]
[logging] NEW STATE -- arrived[2026-03-26 22:52:15]
[logging] NEW STATE -- taked[2026-03-26 22:52:17]
[logging] NEW STATE -- empty[2026-03-26 22:52:18]
[logging] NEW STATE -- arrived[2026-03-26 22:52:23]
[logging] NEW STATE -- taked[2026-03-26 22:52:24]
[logging] NEW STATE -- empty[2026-03-26 22:52:25]
[logging] NEW STATE -- arrived[2026-03-26 22:52:26]
[logging] NEW STATE -- taked[2026-03-26 22:52:27]
[logging] NEW STATE -- empty[2026-03-26 22:52:37]
[logging] NEW STATE -- arrived[2026-03-26 22:52:42]
[logging] NEW STATE -- taked[2026-03-26 22:52:43]
[logging] NEW STATE -- empty[2026-03-26 22:52:54]
[logging] NEW STATE -- arrived[2026-03-26 22:52:55]
[logging] NEW STATE -- taked[2026-03-26 22:52:56]
[logging] NEW STATE -- empty[2026-03-26 22:52:57]
[logging] NEW STATE -- arrived[2026-03-26 22:52:58]
[logging] NEW STATE -- taked[2026-03-26 22:52:59]
[logging] NEW STATE -- empty[2026-03-26 22:53:12]
[logging] NEW STATE -- arrived[2026-03-26 22:53:14]
[logging] NEW STATE -- taked[2026-03-26 22:53:15]
[logging] NEW STATE -- empty[2026-03-26 22:53:18]
[logging] NEW STATE -- arrived[2026-03-26 22:53:19]
[logging] NEW STATE -- empty[2026-03-26 22:53:21]
[logging] NEW STATE -- arrived[2026-03-26 22:53:29]
[logging] NEW STATE -- taked[2026-03-26 22:53:31]
[logging] NEW STATE -- empty[2026-03-26 22:57:35]
[logging] NEW STATE -- arrived[2026-03-26 22:57:37]
[logging] NEW STATE -- taked[2026-03-26 22:57:38]
[logging] NEW STATE -- empty[2026-03-26 22:57:39]
[logging] NEW STATE -- arrived[2026-03-26 22:57:40]
[logging] NEW STATE -- taked[2026-03-26 22:57:41]
[logging] NEW STATE -- empty[2026-03-26 22:57:45]
[logging] NEW STATE -- arrived[2026-03-26 22:57:46]
